ID,Status,Title,Label,Security-Label,Url,PatchUrl
98528,open,[3.7] gh-98517: Fix buffer overflows in _sha3 module (GH-98519),"type-security,awaiting merge,release-blocker,3.7,type-crash",buffer overflow,https://api.github.com/repos/python/cpython/issues/98528,https://github.com/python/cpython/pull/98528.patch
98527,open,[3.8] gh-98517: Fix buffer overflows in _sha3 module (GH-98519),"type-security,awaiting merge,release-blocker,3.8,type-crash",buffer overflow,https://api.github.com/repos/python/cpython/issues/98527,https://github.com/python/cpython/pull/98527.patch
98526,open,[3.9] gh-98517: Fix buffer overflows in _sha3 module (GH-98519),"type-security,awaiting merge,release-blocker,3.9,type-crash",buffer overflow,https://api.github.com/repos/python/cpython/issues/98526,https://github.com/python/cpython/pull/98526.patch
98524,open,"Py_Finalize() function, why it does not finalise Python??",type-bug, ,https://api.github.com/repos/python/cpython/issues/98524, 
98517,open,Buffer overflow in the _sha3 module in python versions <= 3.10,"type-bug,type-security,3.10,3.9,3.8,3.7",buffer overflow,https://api.github.com/repos/python/cpython/issues/98517, 
98509,open,Unexpected results when comparing time instances,type-bug, ,https://api.github.com/repos/python/cpython/issues/98509, 
98504,open,[3.9] gh-97514: Don't use Linux abstract sockets for multiprocessing (GH-98501),"type-security,awaiting merge,release-blocker,3.9",security,https://api.github.com/repos/python/cpython/issues/98504,https://github.com/python/cpython/pull/98504.patch
98494,open,gh-98461: Fix location of RETURN_VALUE in async generator bytecode. compiler_jump_if no longer needs a pointer to the loc.,"type-bug,awaiting core review,skip news,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/98494,https://github.com/python/cpython/pull/98494.patch
98493,open,Multiprocessing overhead 100x higher on machine with 256 cores but not if restricted to 1 core,"type-bug,performance,expert-multiprocessing",performance,https://api.github.com/repos/python/cpython/issues/98493, 
98485,open,`csv` does not round-trip for `complex` numbers,type-bug, ,https://api.github.com/repos/python/cpython/issues/98485, 
98478,open,locale.normalize returns non-existing locale,type-bug, ,https://api.github.com/repos/python/cpython/issues/98478, 
98474,open,Python3 failed to run test_sys on release and debug configuration with MSVC on windows,type-bug, ,https://api.github.com/repos/python/cpython/issues/98474, 
98469,open,Cannot open IDLE,"type-bug,expert-IDLE", ,https://api.github.com/repos/python/cpython/issues/98469, 
98467,open,concurrent.futures.ThreadPoolExecutor does not free memory when shutdown ,type-bug, ,https://api.github.com/repos/python/cpython/issues/98467, 
98458,open,Unittest: self-referencing explicit exception cause results in infinite loop,type-bug,infinite loop,https://api.github.com/repos/python/cpython/issues/98458, 
98442,open,Source location of return instruction in a with block is incorrect,"type-bug,interpreter-core,3.12", ,https://api.github.com/repos/python/cpython/issues/98442, 
98433,open,Slow IDNA decoding with large strings,type-bug,performance,https://api.github.com/repos/python/cpython/issues/98433, 
98417,open,PyInterpreterState.config.int_max_str_digits Should Not Be Modified,"type-bug,3.12", ,https://api.github.com/repos/python/cpython/issues/98417, 
98415,open,UUID _ifconfig_getnodes() will always return None due to broken logic,type-bug, ,https://api.github.com/repos/python/cpython/issues/98415, 
98414,open,test_filter_to_company() in test_launcher fails due to py.ini,"type-bug,OS-windows,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/98414, 
98407,open,"AMD64 Ubuntu Shared 3.x: python processes killed with SIGKILL by Linux Out-of-Memory (OOM), maybe related to test_asyncio","type-bug,expert-asyncio",out-of-memory,https://api.github.com/repos/python/cpython/issues/98407, 
98401,open,Reject invalid escape sequences (and octal escape sequences) in bytes and Unicode strings,type-bug, ,https://api.github.com/repos/python/cpython/issues/98401, 
98393,open,"os module: reject bytes-like strings for paths, only accept the exact bytes type",type-bug, ,https://api.github.com/repos/python/cpython/issues/98393, 
98388,open,Tests for happy eyeballs + working around bug in wait_for,"type-bug,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/98388, 
98376,open,Could not access runpy._run_module_as_main AttributeError: module 'runpy' has no attribute '_run_module_as_main',"type-bug,pending", ,https://api.github.com/repos/python/cpython/issues/98376, 
98372,open,"Seems hard to believe, but do multiple test cases share files?",type-bug, ,https://api.github.com/repos/python/cpython/issues/98372, 
98366,open,Python 3.10.7 Docs fails with Sphinx 5.3.0,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/98366, 
98360,open,Regression in multiprocessing example using venv on Windows in 3.11rc2,"type-bug,OS-windows,release-blocker,3.11,3.12,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/98360, 
98349,open,Misleading errors and confusing behavior with zero-argument `super()` in inner functions,type-bug, ,https://api.github.com/repos/python/cpython/issues/98349, 
98318,open,There is no known way to properly exit applications run with IDLE "run module",type-bug, ,https://api.github.com/repos/python/cpython/issues/98318, 
98301,open,unittest.mock.create_autospec() can crash when accessing properties from objects,type-bug,crash,https://api.github.com/repos/python/cpython/issues/98301, 
98286,open,ZipFile & ZipInfo functions raise IndexError for empty filenames,type-bug, ,https://api.github.com/repos/python/cpython/issues/98286, 
98253,open,typing.py: builtin LRU caches leak references,"type-bug,performance,expert-typing",memory leak,https://api.github.com/repos/python/cpython/issues/98253, 
98248,open,struct.pack error messages are misleading and inconsistent,type-bug, ,https://api.github.com/repos/python/cpython/issues/98248, 
98247,open,"dataclass with slots=True, init=False raises AttributeError",type-bug, ,https://api.github.com/repos/python/cpython/issues/98247, 
98241,open,imaplib quoting has been removed during Python 3 migration,type-bug, ,https://api.github.com/repos/python/cpython/issues/98241, 
98239,open,inspect.getsource() on sourceless dataclass raises undocumented exception,type-bug, ,https://api.github.com/repos/python/cpython/issues/98239, 
98233,open,`inspect.getmro()` fails with `AttributeError` for `typing.Annotated`,"type-bug,stdlib,expert-typing", ,https://api.github.com/repos/python/cpython/issues/98233, 
98219,open,test.support.os_helper.rmdir(): PermissionError: [WinError 32] The process cannot access the file because it is being used by another process,"type-bug,tests,OS-windows",permission,https://api.github.com/repos/python/cpython/issues/98219, 
98218,open,Inconsistent url parsing between urllib.parse and urllib.request with ":@" in netloc,type-bug, ,https://api.github.com/repos/python/cpython/issues/98218, 
98188,open,email: get_payload(decode=True) doesn't handle Content-Transfer-Encoding with trailing white space,"type-bug,expert-email", ,https://api.github.com/repos/python/cpython/issues/98188, 
98169,open,`dataclasses.astuple` breaks on `DefaultDict`,type-bug, ,https://api.github.com/repos/python/cpython/issues/98169, 
98159,open,`__sizeof__` underreports size of `0` by 4 bytes,type-bug, ,https://api.github.com/repos/python/cpython/issues/98159, 
98148,open,Tracing a class that defines a custom `__class__` appears to remove said property under certain circumstances,type-bug, ,https://api.github.com/repos/python/cpython/issues/98148, 
98145,open,Compiling Cpython 3.8.X with shared libffi fails,"type-bug,OS-windows,expert-ctypes", ,https://api.github.com/repos/python/cpython/issues/98145, 
98140,open,Signal handler sometimes not called,type-bug, ,https://api.github.com/repos/python/cpython/issues/98140, 
98117,open,exec() new closure argument specification is broken.,type-bug, ,https://api.github.com/repos/python/cpython/issues/98117, 
98105,open,`logging.log` doesn't naively work as audit hook for `sys.addaudithook`,type-bug, ,https://api.github.com/repos/python/cpython/issues/98105, 
98086,open,`unittest.mock.patch.dict` returns function when applied to coroutines,type-bug, ,https://api.github.com/repos/python/cpython/issues/98086, 
98078,open,asyncio SSL not sending TLS Fatal Alerts,"type-bug,expert-asyncio,expert-SSL", ,https://api.github.com/repos/python/cpython/issues/98078, 
98040,open,Remove more deprecated importlib APIs from Python 3.12,type-bug, ,https://api.github.com/repos/python/cpython/issues/98040, 
98022,open,Unexpected urllib parse result,"type-bug,pending", ,https://api.github.com/repos/python/cpython/issues/98022, 
97983,open,A bunch of CI failures on `main` branch,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/97983, 
97966,open,uname_result _asdict and _fields are missing platform,type-bug, ,https://api.github.com/repos/python/cpython/issues/97966, 
97959,open,"`pydoc` renders `from builtins.type` note, even if it is incorrect","type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/97959, 
97950,open,Docs use deprecated Sphinx `.. index::` entries,"type-bug,docs,sprint,3.11,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/97950, 
97943,open,PyFunction_GetAnnotations is probably causing ref leaks,type-bug,memory leak,https://api.github.com/repos/python/cpython/issues/97943, 
97930,open,Refresh importlib.resources,type-bug, ,https://api.github.com/repos/python/cpython/issues/97930, 
97923,open,Run SSL tests on each CI run,"type-bug,tests,expert-SSL", ,https://api.github.com/repos/python/cpython/issues/97923, 
97907,open,Occasional incorrect chaining of CancelledError when calling 'cancel' on result of 'asyncio.gather',"type-bug,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/97907, 
97842,open,musl-cross-make cross compiling and specifying "--with-libc=/custom/path/to/libc.so" is dismissed,type-bug, ,https://api.github.com/repos/python/cpython/issues/97842, 
97827,open,Unhandled exceptions in asyncio sometimes pass silently.,"type-bug,expert-asyncio,pending",unhandled exception,https://api.github.com/repos/python/cpython/issues/97827, 
97796,open,"help(typing.Annotated[foo, ...]) should return the doc for _AnnotatedAlias","type-bug,expert-typing", ,https://api.github.com/repos/python/cpython/issues/97796, 
97786,open,Compiler warning for `_Py_InIntegralTypeRange`,"type-bug,interpreter-core,expert-C-API", ,https://api.github.com/repos/python/cpython/issues/97786, 
97764,open,"[tests] When test_venv.test_with_pip() fails, a bug in error handling fails to display stderr","type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/97764, 
97727,open,`__future__` annotations breaks `TypedDict` `__required/optional_keys__`,type-bug, ,https://api.github.com/repos/python/cpython/issues/97727, 
97726,open,gh-97725: Fix default file in `Task.print_stack`,"type-bug,awaiting core review,needs backport to 3.10,needs backport to 3.11", ,https://api.github.com/repos/python/cpython/issues/97726,https://github.com/python/cpython/pull/97726.patch
97725,open,`asyncio.Task.print_stack` doesn't use `sys.stderr` by default,"type-bug,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/97725, 
97694,open,Non-package module loaded from ModInfo object retains __path__ from previously loaded package.,type-bug, ,https://api.github.com/repos/python/cpython/issues/97694, 
97669,open,Remove outdated Tools/scripts/ example scripts,type-bug, ,https://api.github.com/repos/python/cpython/issues/97669, 
97616,open,[security] list_resize(): integer overflow if newsize is too large,"type-bug,type-security",integer overflow,https://api.github.com/repos/python/cpython/issues/97616, 
97611,open,CSV sniffing detects wrong field delimiter,type-bug, ,https://api.github.com/repos/python/cpython/issues/97611, 
97588,open,ctypes: bit field data does not survive round trip,"type-bug,expert-ctypes", ,https://api.github.com/repos/python/cpython/issues/97588, 
97566,open,realpath has a race condition which might cause it to throw spurious exceptions,"type-bug,3.9", ,https://api.github.com/repos/python/cpython/issues/97566, 
97558,open,`len` built-in overwritten in `ssl.py` leading to "'int' object is not callable" error,type-bug, ,https://api.github.com/repos/python/cpython/issues/97558, 
97557,open,Memory leak: warnings module,type-bug,memory leak,https://api.github.com/repos/python/cpython/issues/97557, 
97546,open,Analyze and improve `test_asyncio.py`: right now it might be flaky,"type-bug,tests,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/97546, 
97544,open,ValueError: illegal newline value on 0x85 (NEL),type-bug, ,https://api.github.com/repos/python/cpython/issues/97544, 
97514,open,Linux specific local privilege escalation via the multiprocessing forkserver start method - CVE-2022-42919,"type-bug,type-security,stdlib,release-blocker,3.11,3.10,3.9,3.12",permission,https://api.github.com/repos/python/cpython/issues/97514, 
97503,open,CSV Writer can not write strings with nulls when no escapechar is specified,"type-bug,stdlib,triaged", ,https://api.github.com/repos/python/cpython/issues/97503, 
97032,open,"GUI tests: CPython 3.9 CI failure for macOS: macOS 11 (1107) or later required, have instead 11 (1106) !","type-bug,OS-mac,3.9", ,https://api.github.com/repos/python/cpython/issues/97032, 
97001,open,termios.tcdrain hangs on MacOS,"type-bug,OS-mac",hang,https://api.github.com/repos/python/cpython/issues/97001, 
97000,open,subprocess.run keeps waiting after the process termination,type-bug, ,https://api.github.com/repos/python/cpython/issues/97000, 
96999,open,too wide source positions for exceptions during pattern matching (3.11.0rc2),type-bug, ,https://api.github.com/repos/python/cpython/issues/96999, 
96995,open,multiprocessing.Pool terminate shuts down workers too early,"type-bug,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/96995, 
96994,open,argparse does not accept negative args w/ exponents as for negative arguments,type-bug, ,https://api.github.com/repos/python/cpython/issues/96994, 
96993,open,`platform.processor()` and `platform.machine()` report inconsistent values under Rosetta on M1 macOS,"type-bug,OS-mac", ,https://api.github.com/repos/python/cpython/issues/96993, 
96971,open,Deadlock when using fork whilst multiprocessing.resource_tracker._resource_tracker._lock is held,type-bug,deadlock,https://api.github.com/repos/python/cpython/issues/96971, 
96970,open,`f_lasti` points to `CACHE` opcode during inlined `CALL`,"type-bug,interpreter-core,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/96970, 
96964,open,py_compile "invalidation_mode" argument doesn't prevent recompilation,type-bug, ,https://api.github.com/repos/python/cpython/issues/96964, 
96953,open,POSIX multiprocessing spawn performance becomes 10x slower from a certain pickle size,"type-bug,expert-multiprocessing",performance,https://api.github.com/repos/python/cpython/issues/96953, 
96931,open,ssl.SSLSocket.shared_ciphers always returns server cipher list,"type-bug,expert-SSL", ,https://api.github.com/repos/python/cpython/issues/96931, 
96910,open,IDLE: Simplify autocomplete window configuration,"type-bug,expert-IDLE", ,https://api.github.com/repos/python/cpython/issues/96910, 
96907,open,`re.sub` returns duplicated replacement strings in some cases.,"type-bug,expert-regex", ,https://api.github.com/repos/python/cpython/issues/96907, 
96894,open,Batch activators unexpectedly turn echo off for subsequent commands,"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/96894, 
96883,open,unittest.mock does not work on WebAssembly build of CPython,"type-bug,expert-WebAssembly", ,https://api.github.com/repos/python/cpython/issues/96883, 
96873,open,urllib.request.urlopen doesn't work when data is only in Request object,type-bug, ,https://api.github.com/repos/python/cpython/issues/96873, 
96867,open,zipapp creates executable files with wrong permissions bits,type-bug,permission,https://api.github.com/repos/python/cpython/issues/96867, 
96863,open,Incorrect exit status of an already waited process in subprocess.Popen,type-bug, ,https://api.github.com/repos/python/cpython/issues/96863, 
96859,open,argparse.ArgumentParser is slow when parsing a very long option list,"type-bug,performance,stdlib,3.12",performance,https://api.github.com/repos/python/cpython/issues/96859, 
96848,open,Minor parsing issue with new -X int_max_str_digits option if PYTHONINTMAXSTRDIGITS,"type-bug,3.11,3.10,3.9,3.8,3.7,3.12", ,https://api.github.com/repos/python/cpython/issues/96848, 
96803,open,Expose _PyInterpreterFrame_GetLine in the private API,"type-bug,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/96803, 
96780,open,Inconsistant behavior of .readable() and .writable() on io.IOBase,"type-bug,extension-modules,expert-IO", ,https://api.github.com/repos/python/cpython/issues/96780, 
96779,open,ShareableList removes trailing zeroes from strings and bytes,"type-bug,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/96779, 
96765,open,Order of configparser.ConfigParser.read() arguments,type-bug, ,https://api.github.com/repos/python/cpython/issues/96765, 
96746,open,Subtypes of extension type inherit Py_TPFLAGS_DISALLOW_INSTANTIATION flag,type-bug, ,https://api.github.com/repos/python/cpython/issues/96746, 
96719,open,shutil.copy2 race condition leading to local file disclosure,"type-bug,type-security",information leak,https://api.github.com/repos/python/cpython/issues/96719, 
96714,open,Wild pointer detected with ASAN during source build,"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/96714, 
96661,open,`test_default_action` from `test_warnings` suite doesn't restore default action in the interpreter's state structure,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/96661, 
96630,open,unittest.mock.patch does not work on WASM build,"type-bug,stdlib,3.11,3.12,expert-WebAssembly", ,https://api.github.com/repos/python/cpython/issues/96630, 
96560,open,"IDLE: In the shell, when a long line of output is written progressively, there is a big delay","type-bug,performance,expert-IDLE",performance,https://api.github.com/repos/python/cpython/issues/96560, 
96534,open,socketmodule: support FreeBSD divert(4) socket,type-bug, ,https://api.github.com/repos/python/cpython/issues/96534, 
96531,open,unexpected behavior of tempfile.TemporaryFile() for O_TMPFILE,type-bug, ,https://api.github.com/repos/python/cpython/issues/96531, 
96522,open,pty.spawn deadlock,type-bug,deadlock,https://api.github.com/repos/python/cpython/issues/96522, 
96509,open,[wasm32-emscripten] Emscripten node build is not portable to windows,"type-bug,OS-windows,expert-WebAssembly", ,https://api.github.com/repos/python/cpython/issues/96509, 
96497,open,SyntaxError for walrus target in a comprehension when the target is a global variable with a private name.,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/96497, 
96487,open,Build failure with GCC <= 9.4 when using runtime_library_dirs,"type-bug,build", ,https://api.github.com/repos/python/cpython/issues/96487, 
96486,open,Using empty dict as default parameter value,"type-bug,stdlib,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/96486, 
96485,open,Magic Mock does not support fixed point notation in strings,type-bug, ,https://api.github.com/repos/python/cpython/issues/96485, 
96469,open,Expected python bug using multiprocessing and inheritance,type-bug, ,https://api.github.com/repos/python/cpython/issues/96469, 
96464,open,multiprocessing pool apply_async failure due to unable to pickle local dynamically created function,"type-bug,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/96464, 
96463,open,ZoneInfo object raises OSError instead of ZoneInfoNotFoundError for timezone input larger than 255 characters,type-bug, ,https://api.github.com/repos/python/cpython/issues/96463, 
96418,open,Code is not matched docs (typeobject.c),type-bug, ,https://api.github.com/repos/python/cpython/issues/96418, 
96398,open,configure.ac: using $CC to check compiler names may result in erroneous judgements,type-bug, ,https://api.github.com/repos/python/cpython/issues/96398, 
96366,open,pathlib.Path.touch incorrectly raises FileNotFoundError,type-bug, ,https://api.github.com/repos/python/cpython/issues/96366, 
96328,open,os.path.ismounts: further situations it doesn't detect correctly,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/96328, 
96310,open,argparse sometimes tracebacks when all options in a mutually exclusive group are suppressed,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/96310, 
96308,open,test_embed failure with certain installed site-packages,"type-bug,tests,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/96308, 
96305,open,AIX build is broken because of _bootsubprocess removal. ,"type-bug,build", ,https://api.github.com/repos/python/cpython/issues/96305, 
96290,open,ntpath.normpath('\\\\') produces different result on Windows ,"type-bug,OS-windows,3.11", ,https://api.github.com/repos/python/cpython/issues/96290, 
96287,open,urllib: urlretrieve() seems to ignore provided host header,type-bug, ,https://api.github.com/repos/python/cpython/issues/96287, 
96269,open,AIX build failing because of python.exp not being created before building shared modules. ,"type-bug,build", ,https://api.github.com/repos/python/cpython/issues/96269, 
96249,open,"On macOS, Configure script assumes that ""gcc"" is an alias for ""clang"", even if it really is GCC","type-bug,build", ,https://api.github.com/repos/python/cpython/issues/96249, 
96239,open,ConfigParser read(write()) not idempotent,type-bug, ,https://api.github.com/repos/python/cpython/issues/96239, 
96220,open,"argparse: TypeError when adding an argument using parameters store_true, default and type",type-bug, ,https://api.github.com/repos/python/cpython/issues/96220, 
96192,open,os.path.ismount() doesn't properly use byte-paths from an os.DirEntry,"type-bug,stdlib,3.11,easy,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/96192, 
96189,open,test_invalid_utf8 test failing on some buildbots,type-bug, ,https://api.github.com/repos/python/cpython/issues/96189, 
96153,open,libpython3.9 not handling undefined symbols properly (Linux),"type-bug,pending", ,https://api.github.com/repos/python/cpython/issues/96153, 
96151,open,`BUILTINS` is not a valid field name for a frozen dataclass,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/96151, 
96148,open,Subtracting one datetime from another provides a wrong timedelta if daylight savings change happens between them,type-bug,hang,https://api.github.com/repos/python/cpython/issues/96148, 
96139,open,unittest: tearDown is not called if asyncSetUp fails,"type-bug,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/96139, 
96127,open,Calling inspect.signature with an AsyncMock instance raises an exception,type-bug, ,https://api.github.com/repos/python/cpython/issues/96127, 
96092,open,traceback.walk_stack(None) does not behave the same as traceback.walk_stack(inspect.currentframe()),"type-bug,stdlib,3.11,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/96092, 
96079,open,Lib/typing.py Missing field _name for _AnnotatedAlias,"type-bug,expert-typing", ,https://api.github.com/repos/python/cpython/issues/96079, 
96062,open,multiprocessing.Pool gets stuck indefinitely when the child process is killed manually ,type-bug, ,https://api.github.com/repos/python/cpython/issues/96062, 
96055,open,faulthandler prints "Segmentation fault" on non SIGSEGV signal deaths,"type-bug,3.11,3.10,3.12",crash,https://api.github.com/repos/python/cpython/issues/96055, 
96030,open,IsolatedAsyncioTestCase calls _setupAsyncioRunner even for skipped tests,"type-bug,tests,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/96030, 
96026,open,"test_multiprocessing_forkserver.py, test_multiprocessing_fork.py and test_multiprocessing_spawn.py gives tracebacks","type-bug,tests,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/96026, 
96017,open,Compiler warnings in main / 3.11,"type-bug,3.11,3.12,expert-WebAssembly", ,https://api.github.com/repos/python/cpython/issues/96017, 
96015,open,urljoin works incorrectly for two path-relative URLs involving . and ..,type-bug, ,https://api.github.com/repos/python/cpython/issues/96015, 
96005,open,[WASI] getpath.py does not handle "Capabilities insufficient" (ENOTCAPABLE),"type-bug,3.11,3.12,expert-WebAssembly", ,https://api.github.com/repos/python/cpython/issues/96005, 
95971,open,test_importlib.util.writes_bytecode_files decorator make false success instead of skipped when -B given,"type-bug,expert-importlib", ,https://api.github.com/repos/python/cpython/issues/95971, 
95952,open,Makefile / configure.ac: realpath is not available on macOS,"type-bug,OS-mac", ,https://api.github.com/repos/python/cpython/issues/95952, 
95921,open,comparison chaining has wrong source positions in most contexts (python 3.11.0rc2),type-bug, ,https://api.github.com/repos/python/cpython/issues/95921, 
95920,open,`asyncio.wait` accepts `concurrent.futures.Future` objects and other more exotic objects like distributed.Future,"type-bug,expert-asyncio,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/95920, 
95891,open,SysLogHandler closes tcp session after first message (also noted in #66006),type-bug, ,https://api.github.com/repos/python/cpython/issues/95891, 
95887,open,test_gdb fails on FreeBSD buildbots,"type-bug,OS-freebsd", ,https://api.github.com/repos/python/cpython/issues/95887, 
95878,open,testcapimodule uses wrong format chars for datetime tests,"type-bug,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/95878, 
95855,open,Target libc based suffix (-musl/-gnu) in PLATFORM_TRIPLET is chosen based on build machine configuration instead of configuration of the target,type-bug, ,https://api.github.com/repos/python/cpython/issues/95855, 
95826,open,Multiprocessing.Event.wait race condition when timeout is not none on Mac OS,"type-bug,3.9,expert-multiprocessing", ,https://api.github.com/repos/python/cpython/issues/95826, 
95820,open,Callbacks pended by `Py_AddPendingCall` will never be invoked if the main thread doesn't release GIL,"type-bug,interpreter-core,3.11,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/95820, 
95782,open,Negative `_io.BufferedReader.tell`,type-bug, ,https://api.github.com/repos/python/cpython/issues/95782, 
95779,open,make doctest fails in main on at least library/dis.rst - RESUME opcode gone?,"type-bug,3.12", ,https://api.github.com/repos/python/cpython/issues/95779, 
95769,open,tkinter window fails to appear approx 10% of the time on MacOS 12.3+,"type-bug,OS-mac,expert-tkinter", ,https://api.github.com/repos/python/cpython/issues/95769, 
95763,open,Tarfile extraction does not work on Windows,"type-bug,OS-windows,stdlib,3.11,3.10,3.12,triaged", ,https://api.github.com/repos/python/cpython/issues/95763, 
95748,open,logging.captureWarnings(True) doesn't show object allocation (-X tracemalloc),type-bug, ,https://api.github.com/repos/python/cpython/issues/95748, 
95737,open,Ctrl-c not behaving as expected,"type-bug,OS-windows,3.10", ,https://api.github.com/repos/python/cpython/issues/95737, 
95734,open,EUC-JP codec fails to properly decode the "?" character,type-bug, ,https://api.github.com/repos/python/cpython/issues/95734, 
95710,open,Ability to weakly reference an instance of a class lost due to mutliple inheritance,"type-bug,3.11,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/95710, 
95709,open,"""Embedding Python in Another Application"" documentation examples use deprecated functions","type-bug,docs,3.11,easy,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/95709, 
95708,open,gh-95601: restore support for awaitable objects that are not futures in `asyncio.wait`,"type-bug,expert-asyncio,awaiting core review,needs backport to 3.11", ,https://api.github.com/repos/python/cpython/issues/95708,https://github.com/python/cpython/pull/95708.patch
95706,open,zipapp fails cryptically on large ZIP64-formatted archives because zipimport.py doesn't support ZIP64.,type-bug, ,https://api.github.com/repos/python/cpython/issues/95706, 
95682,open,Install stable ABI library in pydebug builds (`libpython3d.so`),type-bug, ,https://api.github.com/repos/python/cpython/issues/95682, 
95675,open,test_tar test_add_dir_getmember fails if uid/gid is larger than 16777215,"type-bug,tests,3.11,3.10,3.9,3.12", ,https://api.github.com/repos/python/cpython/issues/95675, 
95672,open,pipe test failures on some  Linux configurations  ,"type-bug,tests,3.11,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/95672, 
95649,open,New asyncio ssl implementation is lacking license and origin information,type-bug, ,https://api.github.com/repos/python/cpython/issues/95649, 
95601,open,support for Awaitable objects in `asyncio.wait` removed in 3.11,"type-bug,expert-asyncio,3.11,3.10,3.12", ,https://api.github.com/repos/python/cpython/issues/95601, 
95600,open,KqueueSelector and PollSelector behaves differently with namedpipes,"type-bug,OS-mac", ,https://api.github.com/repos/python/cpython/issues/95600, 
95584,open,asyncio.Runner allows async generators to skip gracefull finalization,"type-bug,expert-asyncio,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/95584, 
95574,open,obmalloc debug info can produce invalidly encoded output,type-bug, ,https://api.github.com/repos/python/cpython/issues/95574, 
95571,open,"unusual behaviour in asyncio.TaskGroup in the presence of GeneratorExit, StopIteration, KeyboardInterrupt and SystemExit","type-bug,expert-asyncio,3.11,3.12", ,https://api.github.com/repos/python/cpython/issues/95571, 
95546,open,configparser: reading an invalid file triggers ParsingError *and* mutations,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/95546, 
95539,open,typing.get_origin behaves differently between standard collections and typing collections,"type-bug,expert-typing", ,https://api.github.com/repos/python/cpython/issues/95539, 
95532,open,Can't assign entry to `__annotations__` unless a class has existing annotation,"type-bug,expert-typing", ,https://api.github.com/repos/python/cpython/issues/95532, 
95531,open,Slow first execution of platform.system on windows,"type-bug,performance,OS-windows,3.12",performance,https://api.github.com/repos/python/cpython/issues/95531, 
95502,open,The 'stdlib compileall' function writes stage directory into *.pyc files,type-bug, ,https://api.github.com/repos/python/cpython/issues/95502, 
95494,open,ssl module with OpenSSL 3.0 does not throw SSLEOFError on unclean shutdown,"type-bug,3.11,3.10,expert-SSL,3.12", ,https://api.github.com/repos/python/cpython/issues/95494, 
95468,open,argparse.ArgumentParser silently swallows multiple -- (double dash),"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/95468, 
95462,open,"sqlite3: when passing incomplete aggregate class, raises wrong error in specific conditions","type-bug,3.10,expert-sqlite3", ,https://api.github.com/repos/python/cpython/issues/95462, 
95400,open,macOS built Python3.11b5 can't find lib-dynload in relocatable framework if framework is relocated and python run from external symlink,"type-bug,OS-mac", ,https://api.github.com/repos/python/cpython/issues/95400, 
95384,open,ctypes: subclassed swapped endianness doesn't swap,"type-bug,expert-ctypes", ,https://api.github.com/repos/python/cpython/issues/95384, 
95341,open,ssl module incorrectly supports tls-unique channel binding for TLS 1.3,"type-bug,expert-SSL", ,https://api.github.com/repos/python/cpython/issues/95341, 
95283,open,failing configure command,"type-bug,OS-mac,build", ,https://api.github.com/repos/python/cpython/issues/95283, 
95241,open,test_ssl test_get_server_certificate_timeout is flaky on macOS,"type-bug,tests,3.11,expert-SSL,3.12,triaged", ,https://api.github.com/repos/python/cpython/issues/95241, 
